Fe.contabilizaci줻;Centro de coste;N즡ero de cuenta;Denominaci줻;En moneda local centro de beneficio;Clave moneda ML CeBe;En moneda de la sociedad;Clave moneda moneda sociedad;Acreedor;Nombre del usuario;Fecha de documento;Texto;Documento compras;N� doc.refer.
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;90,00;USD;9697,50;ARS;405628;BJADMIN_LO;W;PG-6000;R1788321;5005655834
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;90,00;USD;9697,50;ARS;405628;BJADMIN_LO;W;TRVI-16P;R1788521;5005655835
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;90,00;USD;9697,50;ARS;405628;BJADMIN_LO;W;TRVI-12P;R1788421;5005655836
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;90,00;USD;9697,50;ARS;405628;BJADMIN_LO;W;TRVI-8P;R1788621;5005655837
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;63,53;USD;6845,00;ARS;204208;BJADMIN_LO;W;IP65;R1847621;5005655846
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;37,13;USD;4001,00;ARS;204208;BJADMIN_LO;W;642/COMPARADOR;R1362221;5005655862
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;120,00;USD;12930,00;ARS;406142;BJADMIN_LO;W;83V;R1837221;5005655868
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;225,00;USD;24243,75;ARS;405987;BJADMIN_LO;W;T580051100;R2009121;5005656066
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;34,99;USD;3770,00;ARS;204208;BJADMIN_LO;W;293-676;R1609421;5005656069
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;163,21;USD;17586,00;ARS;200161;BJADMIN_LO;W;120;R1817521;5005657050
3/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;163,21;USD;17586,00;ARS;200161;BJADMIN_LO;W;ROCKWELL HRC-A-D;R1817421;5005657052
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;127,36;USD;13755,00;ARS;200161;BJADMIN_LO;W;S/ID;R1816821;5005657992
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;162,83;USD;17586,00;ARS;200161;BJADMIN_LO;W;ROCKWELL HRC-A-D;R1817121;5005657999
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;127,36;USD;13755,00;ARS;200161;BJADMIN_LO;W;ROCKWELL;R1817721;5005658012
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;223,00;USD;24084,00;ARS;406142;BJADMIN_LO;W;T5-8005-110-00;R1710721;5005658015
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;33,80;USD;3650,00;ARS;204208;BJADMIN_LO;W;585MBP;R4796219;5005658016
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;490,00;USD;52920,00;ARS;406142;BJADMIN_LO;W;E50;R1770621;5005658200
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;1500,00;USD;162000,00;ARS;405794;BJADMIN_LO;W;58-050J;R1548921;5005658202
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;180,00;USD;19440,00;ARS;405794;BJADMIN_LO;W;C27083-1;R1992121;5005658206
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;65,51;USD;7075,00;ARS;204805;BJADMIN_LO;W;QD2RN50;R1696821;5005658292
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;73,13;USD;7898,00;ARS;204208;BJADMIN_LO;W;PRO 3600;R1056521;5005658295
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;47,55;USD;5135,00;ARS;204208;BJADMIN_LO;W;PG46003320;R0049521;5005658297
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;69,44;USD;7500,00;ARS;201495;BJADMIN_LO;W;35626-12;R1926921;5005658298
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;276,56;USD;29868,00;ARS;200161;BJADMIN_LO;W;100RBRC;R1816721;5005658313
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;276,00;USD;29808,00;ARS;406142;BJADMIN_LO;W;A8-AF;R1613021;5005658324
4/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;669,00;USD;72252,00;ARS;406142;BJADMIN_LO;W;8657B;R1720821;5005658325
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;80,08;USD;8648,64;ARS;405794;BJADMIN_LO;W;TS100;R2009321;5005659209
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;80,08;USD;8648,64;ARS;405794;BJADMIN_LO;W;TS100;R2009221;5005659240
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;120,00;USD;12960,00;ARS;405987;BJADMIN_LO;W;45;R1926521;5005659243
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;120,00;USD;12960,00;ARS;405987;BJADMIN_LO;W;45;R1944221;5005659244
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;120,00;USD;12960,00;ARS;405987;BJADMIN_LO;W;45;R1926221;5005659246
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;319,72;USD;34450,00;ARS;201492;BJADMIN_LO;W;8808A;R0116521;5005659315
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;63,38;USD;6845,00;ARS;204208;BJADMIN_LO;W;25-631;R1288921;5005659316
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;DC3003-0-40B-1-00-0111;R1928021;5005659331
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;300 C;R2162321;5005659332
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;CADMIO HIDROGENADO 8;R2162021;5005659334
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;DESP NIQUEL CUBA 26;R2162221;5005659337
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;DESENG. ALCALINO 1;R2162521;5005659338
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;GOLPE COBRE CUBA 54;R2162921;5005659339
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;42,73;USD;4615,00;ARS;204208;BJADMIN_LO;W;24 IN.;R0053121;5005659344
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;DESENG ALCALINO 67;R2163521;5005659388
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;CROMO DURO GRANDE 60;R2163421;5005659389
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;87,53;USD;9453,00;ARS;201495;BJADMIN_LO;W;30IN/HG;R1928121;5005659410
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;180,00;USD;19440,00;ARS;406142;BJADMIN_LO;W;TIH 070 M;R1695421;5005659422
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;42,73;USD;4615,00;ARS;204208;BJADMIN_LO;W;12-24IN;R0052721;5005659424
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,31;USD;6406,00;ARS;204208;BJADMIN_LO;W;575;R0550621;5005659427
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,31;USD;6406,00;ARS;204208;BJADMIN_LO;W;575DP;R0149521;5005659428
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,31;USD;6406,00;ARS;204208;BJADMIN_LO;W;154;R0550721;5005660491
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;59,31;USD;6406,00;ARS;204208;BJADMIN_LO;W;575 AP;R0167421;5005660492
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;43,94;USD;4745,00;ARS;204208;BJADMIN_LO;W;-575;R2946419;5005660493
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;390,00;USD;42120,00;ARS;406142;BJADMIN_LO;W;252;R1726921;5005660494
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;60,00;USD;6480,00;ARS;405794;BJADMIN_LO;W;129-110;R1973321;5005660500
1/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;68,00;USD;7327,00;ARS;406142;BJADMIN_LO;W;126-138;R1872221;5005660663
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;60,00;USD;6480,00;ARS;405794;BJADMIN_LO;W;126-141;R1985921;5005660664
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;60,00;USD;6480,00;ARS;405794;BJADMIN_LO;W;126-142;R1985821;5005660665
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;80,08;USD;8648,64;ARS;405794;BJADMIN_LO;W;651C-3;R2009421;5005660666
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;43,06;USD;4651,00;ARS;204208;BJADMIN_LO;W;100.MM;R0048221;5005660667
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;77,03;USD;8319,00;ARS;204208;BJADMIN_LO;W;TGEC101;R1750021;5005660668
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;51,68;USD;5581,00;ARS;204208;BJADMIN_LO;W;511-743;R1483021;5005660669
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;80,23;USD;8665,00;ARS;204208;BJADMIN_LO;W;960-703-A10;R0401421;5005660674
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;34,91;USD;3770,00;ARS;204208;BJADMIN_LO;W;293-346;R1483121;5005660675
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;60,00;USD;6480,00;ARS;405794;BJADMIN_LO;W;126-139;R1985721;5005660676
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;60,00;USD;6480,00;ARS;405794;BJADMIN_LO;W;126-140;R1985521;5005660677
5/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;175,06;USD;18906,00;ARS;201495;BJADMIN_LO;W;SERIE 400D;R1882221;5005660769
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;90,28;USD;9750,00;ARS;204208;BJADMIN_LO;W;4IN;R2102220;5005660787
6/1/2022;10501009;700820001;MNT-EQUIPOS TALLER;34,91;USD;3770,00;ARS;204208;BJADMIN_LO;W;3732XFL-1;R1340721;5005660803
