vendor_name,vendor_code,COUNT,MEAN_of_TAT,STDEV_of_TAT
"BERNOULLI AEROSPACE, LLC",US0942,1061,73.39396795475966,96.56549894357514
DASTEC SRL USA LLC,US0192,1,33.0,NaN
EDACI S.R.L.,AR0310,444,45.380630630630634,58.214414011466886
DANIELS MANUFACTURING CORP.,11851,9,58.333333333333336,45.63441683641854
SCHENCK ROTEC GMBH,CE619,1,193.0,NaN
MITUTOYO SUL AMERICANA LTDA.,AR0002,59,43.067796610169495,95.441598753623
TEST-FUCHS CORPORATION,7Z8U7,9,10.0,3.8078865529319543
VACUUM TECHNOLOGY INC.,03EF4,1,91.0,NaN
TRESCAL ESPAÑA DE METROLOGIA SLU,551CB,153,47.55555555555556,52.60964601478676
"VALUE TOOL & ENGINEERING, INC.",1DBF7,12,49.333333333333336,32.53063823908815
INTERCOMP CO.,7W667,125,47.088,37.280976728171325
"DRUCK, LLC.",1CE49,26,68.5,66.63767703034073
SAFRAN CABIN INC.,56135,2,13.0,0.0
PACIFIC SCIENTIFIC COMPANY,1B1H6,3,322.3333333333333,181.28798452554247
BROADVIEW INSTRUMENTATION SERV,0NUU5,21,40.285714285714285,32.90006513237148
FLEXIM GMBH,C8839,2,45.0,1.4142135623730951
BOEING US TRAINING AND FLIGHTS,US0190,4,63.0,48.2147971754177
A.T.JUNIPER,U2066,11,160.27272727272728,44.25627844518992
ASSOCIATED SALES INT`L (ASI),042V0,165,61.696969696969695,49.19875373228523
ASTRONICS TEST SYSTEMS,21793,3,86.33333333333333,61.010927982889534
NEWARK ELECTRONICS,02ET6,8,39.75,35.80801985190309
LAPMASTER INTERNATIONAL LLC,38CZ8,3,138.0,127.04723531033645
"AEROFORGE, INC.",8M213,9,59.77777777777778,52.857775628988065
ETHER NDE LIMITED,U0FM7,1,30.0,NaN
THERMO EBERLINE LLC,52GB6,2,42.0,38.18376618407357
"BERNOULLI AEROSPACE, LLC",US0998,7,7.714285714285714,4.535573676110727
PARKER - HANNIFIN CORPRPORATION,26055,2,125.5,102.5304832720494
TOOL MAINTENANCE DEPARTMENT,TOOL-MNT,1,65.0,NaN
